group,mhc_class,Kd_M,pti_pae_raw
noncognate,I,,20.30988121032715
noncognate,I,,5.537625789642334
noncognate,I,,4.8200860023498535
noncognate,I,,4.8200860023498535
noncognate,I,,4.162797927856445
noncognate,I,,4.162797927856445
noncognate,I,,25.755556106567383
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,12.222222328186035
noncognate,I,,23.875362396240234
noncognate,I,,13.931297302246094
noncognate,I,,13.931297302246094
noncognate,I,,12.16991138458252
noncognate,I,,12.16991138458252
noncognate,I,,27.66736602783203
noncognate,I,,27.66736602783203
noncognate,I,,26.25459098815918
noncognate,I,,26.25459098815918
noncognate,I,,26.25459098815918
noncognate,I,,26.25459098815918
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,4.892828464508057
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,16.269681930541992
noncognate,I,,25.880552291870117
noncognate,I,,3.9542734622955322
noncognate,I,,3.9542734622955322
noncognate,I,,19.689023971557617
noncognate,I,,19.689023971557617
noncognate,I,,2.928541660308838
noncognate,I,,5.939290523529053
noncognate,I,,10.089311599731445
noncognate,I,,10.089311599731445
noncognate,II,,21.560094833374023
noncognate,I,,22.403549194335938
noncognate,I,,20.596206665039062
noncognate,I,,20.596206665039062
noncognate,I,,7.895308971405029
noncognate,I,,7.895308971405029
noncognate,II,,10.161372184753418
noncognate,I,,24.25511932373047
noncognate,I,,5.337019920349121
